How familiar are you with the concept of artificial intelligence (A.I)?,"In your opinion, will A.I have a positive impact on our future?",How do you think A.I will affect job opportunities in the future?,Do you think A.I will change the way we live our daily lives?,In what industries do you think A.I will have the most impact?,How do you think A.I will affect the way we interact with each other?,Do you think A.I will be able to replicate human emotions and consciousness?,How do you think A.I will impact the way we make decisions?,Do you think A.I will be able to make ethical decisions?,"In your opinion, should there be regulations in place to govern the development and use of A.I?",How do you think A.I will impact privacy?,Do you think A.I will be able to replace human creativity?,How concerned are you about the potential for A.I to be used for unethical or malicious purposes?,"In your opinion, could A.I potentially become a threat to humanity?",How do you think A.I will impact the economy?
Not familiar at all,Somewhat Disagree,Create more jobs,Yes,Retail,Have no effect on human interaction,Unsure,Limit our ability to think critically,Yes,Somewhat Disagree,Have no effect on our privacy,Yes,Somewhat concerned,Strongly Agree,Weaken Economy
Not familiar at all,Somewhat Agree,Create more jobs,Yes,Manufacturing,Push people further apart,Yes,Have no effect on decision-making,No,Strongly Agree,Have no effect on our privacy,Unsure,Very concerned,Strongly Agree,Not affect economy at all.
Somewhat famililar,Somewhat Disagree,Create more jobs,No,Retail,Have no effect on human interaction,Unsure,Make decision-making more efficient,Unsure,Somewhat Disagree,Compromise privacy,No,Somewhat concerned,Somewhat Agree,Weaken Economy
Not familiar at all,Strongly Agree,Eliminate jobs,Yes,Healthcare,Push people further apart,Unsure,Have no effect on decision-making,Unsure,Strongly Agree,Improve privacy,Yes,Not at all concerned,Strongly Agree,Weaken Economy
Not familiar at all,Neutral,Have no effect on job opportunities,No,Healthcare,Push people further apart,Yes,Make decision-making more efficient,Unsure,Neutral,Improve privacy,Unsure,Somewhat concerned,Strongly Agree,Improve Economy
Somewhat famililar,Somewhat Agree,Create more jobs,No,Retail,Bring people closer together,Unsure,Make decision-making more efficient,Yes,Somewhat Disagree,Have no effect on our privacy,Unsure,Not very concerned,Somewhat Agree,Not affect economy at all.
Very familiar,Neutral,Have no effect on job opportunities,Yes,Healthcare,Have no effect on human interaction,No,Have no effect on decision-making,Yes,Neutral,Compromise privacy,No,Somewhat concerned,Strongly Disagree,Improve Economy
Not familiar at all,Strongly Agree,Have no effect on job opportunities,No,Healthcare,Bring people closer together,Unsure,Have no effect on decision-making,Yes,Neutral,Improve privacy,Unsure,Not very concerned,Strongly Agree,Weaken Economy
Not familiar at all,Somewhat Agree,Create more jobs,Yes,Healthcare,Push people further apart,Yes,Have no effect on decision-making,Unsure,Neutral,Have no effect on our privacy,Unsure,Somewhat concerned,Strongly Disagree,Weaken Economy
Not familiar at all,Strongly Agree,Have no effect on job opportunities,No,Finance,Bring people closer together,Yes,Make decision-making more efficient,Unsure,Somewhat Disagree,Compromise privacy,No,Somewhat concerned,Neutral,Improve Economy
Not familiar at all,Strongly Disagree,Create more jobs,No,Finance,Push people further apart,Yes,Limit our ability to think critically,Yes,Strongly Agree,Compromise privacy,No,Not at all concerned,Somewhat Agree,Not affect economy at all.
Very familiar,Somewhat Disagree,Create more jobs,No,Healthcare,Have no effect on human interaction,Yes,Make decision-making more efficient,No,Somewhat Agree,Have no effect on our privacy,No,Very concerned,Somewhat Disagree,Not affect economy at all.
Not familiar at all,Neutral,Create more jobs,Yes,Retail,Bring people closer together,Yes,Limit our ability to think critically,No,Somewhat Agree,Improve privacy,No,Not at all concerned,Somewhat Disagree,Not affect economy at all.
Somewhat famililar,Strongly Disagree,Create more jobs,No,Manufacturing,Push people further apart,Unsure,Make decision-making more efficient,Yes,Somewhat Disagree,Compromise privacy,Yes,Not at all concerned,Somewhat Disagree,Improve Economy
Somewhat famililar,Somewhat Agree,Have no effect on job opportunities,Yes,Manufacturing,Push people further apart,No,Limit our ability to think critically,No,Somewhat Disagree,Improve privacy,No,Not at all concerned,Somewhat Disagree,Improve Economy
Very familiar,Strongly Agree,Have no effect on job opportunities,No,Retail,Push people further apart,Unsure,Limit our ability to think critically,No,Neutral,Have no effect on our privacy,No,Somewhat concerned,Strongly Agree,Weaken Economy
Somewhat famililar,Somewhat Agree,Have no effect on job opportunities,No,Finance,Push people further apart,Unsure,Have no effect on decision-making,Yes,Strongly Disagree,Compromise privacy,Unsure,Neutral,Strongly Agree,Not affect economy at all.
Somewhat famililar,Strongly Disagree,Eliminate jobs,No,Healthcare,Push people further apart,No,Make decision-making more efficient,No,Neutral,Have no effect on our privacy,No,Neutral,Strongly Disagree,Weaken Economy
Very familiar,Strongly Disagree,Create more jobs,Yes,Healthcare,Have no effect on human interaction,No,Have no effect on decision-making,Unsure,Somewhat Disagree,Have no effect on our privacy,No,Very concerned,Neutral,Not affect economy at all.
Very familiar,Somewhat Disagree,Have no effect on job opportunities,No,Manufacturing,Bring people closer together,Yes,Make decision-making more efficient,Unsure,Somewhat Agree,Improve privacy,Unsure,Very concerned,Neutral,Weaken Economy
Not familiar at all,Somewhat Agree,Have no effect on job opportunities,Yes,Manufacturing,Have no effect on human interaction,No,Have no effect on decision-making,Yes,Somewhat Disagree,Compromise privacy,Unsure,Very concerned,Somewhat Disagree,Weaken Economy
Somewhat famililar,Strongly Disagree,Have no effect on job opportunities,Yes,Manufacturing,Have no effect on human interaction,Yes,Have no effect on decision-making,No,Neutral,Compromise privacy,No,Neutral,Neutral,Weaken Economy
Very familiar,Somewhat Agree,Eliminate jobs,No,Manufacturing,Have no effect on human interaction,Yes,Have no effect on decision-making,Yes,Somewhat Disagree,Compromise privacy,No,Not very concerned,Neutral,Weaken Economy
Somewhat famililar,Somewhat Disagree,Have no effect on job opportunities,Yes,Healthcare,Push people further apart,Unsure,Limit our ability to think critically,Unsure,Strongly Agree,Have no effect on our privacy,No,Not very concerned,Somewhat Agree,Not affect economy at all.
Very familiar,Somewhat Disagree,Create more jobs,No,Manufacturing,Bring people closer together,Yes,Limit our ability to think critically,No,Strongly Agree,Compromise privacy,Yes,Not at all concerned,Neutral,Weaken Economy
Very familiar,Strongly Agree,Create more jobs,Yes,Healthcare,Bring people closer together,Yes,Limit our ability to think critically,Unsure,Somewhat Disagree,Have no effect on our privacy,Unsure,Not very concerned,Somewhat Agree,Improve Economy
Somewhat famililar,Strongly Disagree,Create more jobs,No,Retail,Have no effect on human interaction,No,Limit our ability to think critically,Unsure,Strongly Disagree,Have no effect on our privacy,Yes,Not at all concerned,Strongly Disagree,Not affect economy at all.
Very familiar,Strongly Disagree,Create more jobs,Yes,Finance,Have no effect on human interaction,Unsure,Have no effect on decision-making,No,Somewhat Agree,Improve privacy,No,Very concerned,Somewhat Disagree,Not affect economy at all.
Not familiar at all,Strongly Disagree,Eliminate jobs,No,Manufacturing,Bring people closer together,No,Make decision-making more efficient,Yes,Neutral,Have no effect on our privacy,Unsure,Very concerned,Somewhat Agree,Improve Economy
Not familiar at all,Neutral,Have no effect on job opportunities,No,Retail,Have no effect on human interaction,No,Limit our ability to think critically,Yes,Neutral,Compromise privacy,No,Somewhat concerned,Strongly Disagree,Improve Economy
Very familiar,Neutral,Eliminate jobs,No,Manufacturing,Have no effect on human interaction,No,Limit our ability to think critically,No,Somewhat Agree,Have no effect on our privacy,Yes,Not at all concerned,Somewhat Disagree,Not affect economy at all.
Very familiar,Neutral,Eliminate jobs,Yes,Manufacturing,Bring people closer together,Unsure,Have no effect on decision-making,Yes,Strongly Disagree,Improve privacy,Yes,Not at all concerned,Somewhat Agree,Improve Economy
Not familiar at all,Somewhat Disagree,Have no effect on job opportunities,No,Manufacturing,Have no effect on human interaction,No,Limit our ability to think critically,Yes,Strongly Disagree,Improve privacy,Unsure,Neutral,Somewhat Agree,Not affect economy at all.
Not familiar at all,Somewhat Agree,Have no effect on job opportunities,No,Retail,Push people further apart,Unsure,Make decision-making more efficient,Unsure,Strongly Disagree,Improve privacy,No,Not at all concerned,Somewhat Disagree,Not affect economy at all.
Very familiar,Somewhat Agree,Have no effect on job opportunities,Yes,Retail,Push people further apart,Unsure,Limit our ability to think critically,Yes,Neutral,Compromise privacy,Unsure,Not at all concerned,Neutral,Weaken Economy
Somewhat famililar,Strongly Agree,Have no effect on job opportunities,No,Manufacturing,Bring people closer together,Yes,Make decision-making more efficient,Yes,Strongly Agree,Compromise privacy,Unsure,Very concerned,Neutral,Not affect economy at all.
Somewhat famililar,Somewhat Disagree,Create more jobs,Yes,Finance,Bring people closer together,No,Have no effect on decision-making,Unsure,Strongly Agree,Compromise privacy,No,Somewhat concerned,Somewhat Disagree,Weaken Economy
Very familiar,Somewhat Agree,Eliminate jobs,Yes,Manufacturing,Bring people closer together,Yes,Limit our ability to think critically,No,Somewhat Disagree,Improve privacy,No,Not very concerned,Somewhat Agree,Weaken Economy
Not familiar at all,Neutral,Have no effect on job opportunities,No,Finance,Push people further apart,Unsure,Make decision-making more efficient,Unsure,Neutral,Have no effect on our privacy,No,Not at all concerned,Strongly Disagree,Improve Economy
Not familiar at all,Somewhat Disagree,Create more jobs,No,Healthcare,Have no effect on human interaction,Yes,Limit our ability to think critically,Unsure,Somewhat Agree,Have no effect on our privacy,No,Neutral,Somewhat Agree,Not affect economy at all.
Very familiar,Strongly Disagree,Eliminate jobs,Yes,Healthcare,Have no effect on human interaction,Unsure,Limit our ability to think critically,Unsure,Strongly Agree,Improve privacy,No,Not very concerned,Strongly Agree,Improve Economy
Not familiar at all,Strongly Agree,Create more jobs,Yes,Finance,Have no effect on human interaction,Yes,Have no effect on decision-making,No,Neutral,Compromise privacy,Unsure,Somewhat concerned,Somewhat Disagree,Weaken Economy
Very familiar,Somewhat Agree,Create more jobs,Yes,Retail,Bring people closer together,Unsure,Limit our ability to think critically,Unsure,Strongly Disagree,Compromise privacy,No,Not at all concerned,Strongly Disagree,Not affect economy at all.
Somewhat famililar,Somewhat Agree,Have no effect on job opportunities,No,Finance,Push people further apart,Yes,Have no effect on decision-making,Unsure,Neutral,Improve privacy,No,Neutral,Somewhat Agree,Improve Economy
Very familiar,Strongly Agree,Create more jobs,No,Retail,Push people further apart,Unsure,Make decision-making more efficient,No,Strongly Disagree,Improve privacy,No,Not very concerned,Strongly Agree,Not affect economy at all.
Very familiar,Somewhat Disagree,Eliminate jobs,No,Finance,Push people further apart,Unsure,Limit our ability to think critically,Yes,Strongly Agree,Have no effect on our privacy,Unsure,Neutral,Somewhat Agree,Not affect economy at all.
Somewhat famililar,Strongly Agree,Eliminate jobs,Yes,Healthcare,Have no effect on human interaction,Yes,Have no effect on decision-making,Yes,Somewhat Agree,Have no effect on our privacy,No,Neutral,Strongly Agree,Not affect economy at all.
Not familiar at all,Strongly Agree,Eliminate jobs,Yes,Retail,Bring people closer together,Unsure,Have no effect on decision-making,Unsure,Strongly Agree,Improve privacy,Unsure,Very concerned,Somewhat Agree,Weaken Economy
Very familiar,Neutral,Create more jobs,Yes,Finance,Bring people closer together,Unsure,Make decision-making more efficient,Yes,Strongly Agree,Compromise privacy,Unsure,Very concerned,Somewhat Disagree,Weaken Economy
Very familiar,Neutral,Create more jobs,Yes,Finance,Bring people closer together,No,Have no effect on decision-making,Yes,Neutral,Have no effect on our privacy,Unsure,Neutral,Somewhat Agree,Not affect economy at all.
Not familiar at all,Strongly Agree,Have no effect on job opportunities,Yes,Retail,Push people further apart,No,Limit our ability to think critically,No,Somewhat Disagree,Have no effect on our privacy,Unsure,Not very concerned,Strongly Disagree,Not affect economy at all.
Very familiar,Neutral,Have no effect on job opportunities,Yes,Retail,Push people further apart,Yes,Limit our ability to think critically,No,Somewhat Agree,Have no effect on our privacy,Unsure,Somewhat concerned,Neutral,Not affect economy at all.
Somewhat famililar,Neutral,Eliminate jobs,Yes,Retail,Push people further apart,No,Limit our ability to think critically,No,Somewhat Agree,Compromise privacy,No,Somewhat concerned,Somewhat Agree,Weaken Economy
Very familiar,Somewhat Agree,Eliminate jobs,No,Retail,Bring people closer together,Unsure,Have no effect on decision-making,Yes,Somewhat Agree,Improve privacy,No,Very concerned,Strongly Disagree,Weaken Economy
Somewhat famililar,Somewhat Agree,Have no effect on job opportunities,Yes,Finance,Bring people closer together,Yes,Limit our ability to think critically,Yes,Strongly Agree,Compromise privacy,Unsure,Not very concerned,Strongly Disagree,Not affect economy at all.
Not familiar at all,Somewhat Agree,Eliminate jobs,No,Finance,Bring people closer together,Yes,Limit our ability to think critically,Yes,Strongly Disagree,Compromise privacy,No,Not very concerned,Somewhat Agree,Improve Economy
Not familiar at all,Neutral,Create more jobs,No,Finance,Push people further apart,Unsure,Make decision-making more efficient,Unsure,Strongly Agree,Compromise privacy,Unsure,Somewhat concerned,Strongly Disagree,Improve Economy
Somewhat famililar,Neutral,Have no effect on job opportunities,No,Healthcare,Bring people closer together,Yes,Have no effect on decision-making,Yes,Somewhat Agree,Improve privacy,Unsure,Not very concerned,Strongly Disagree,Not affect economy at all.
Very familiar,Somewhat Agree,Eliminate jobs,No,Finance,Push people further apart,Unsure,Make decision-making more efficient,Yes,Somewhat Agree,Compromise privacy,Unsure,Not at all concerned,Strongly Agree,Improve Economy
Very familiar,Strongly Disagree,Eliminate jobs,Yes,Manufacturing,Bring people closer together,Unsure,Limit our ability to think critically,Yes,Somewhat Agree,Have no effect on our privacy,Unsure,Not very concerned,Somewhat Agree,Weaken Economy
Somewhat famililar,Somewhat Agree,Have no effect on job opportunities,No,Healthcare,Bring people closer together,Yes,Have no effect on decision-making,No,Strongly Disagree,Improve privacy,Unsure,Not very concerned,Somewhat Disagree,Not affect economy at all.
Very familiar,Neutral,Eliminate jobs,Yes,Retail,Have no effect on human interaction,Unsure,Make decision-making more efficient,No,Strongly Disagree,Compromise privacy,Unsure,Not at all concerned,Somewhat Disagree,Not affect economy at all.
Somewhat famililar,Strongly Agree,Have no effect on job opportunities,No,Healthcare,Push people further apart,Unsure,Make decision-making more efficient,Yes,Strongly Disagree,Compromise privacy,No,Not very concerned,Strongly Agree,Weaken Economy
Somewhat famililar,Strongly Disagree,Create more jobs,Yes,Healthcare,Push people further apart,No,Have no effect on decision-making,Yes,Somewhat Disagree,Have no effect on our privacy,No,Not very concerned,Strongly Disagree,Weaken Economy
Not familiar at all,Strongly Disagree,Create more jobs,Yes,Retail,Push people further apart,Unsure,Have no effect on decision-making,Unsure,Somewhat Disagree,Have no effect on our privacy,No,Not very concerned,Strongly Disagree,Not affect economy at all.
Somewhat famililar,Strongly Disagree,Have no effect on job opportunities,Yes,Retail,Push people further apart,No,Make decision-making more efficient,Yes,Strongly Disagree,Improve privacy,Unsure,Somewhat concerned,Somewhat Disagree,Weaken Economy
Somewhat famililar,Strongly Agree,Eliminate jobs,No,Healthcare,Have no effect on human interaction,No,Make decision-making more efficient,No,Somewhat Disagree,Compromise privacy,No,Very concerned,Somewhat Agree,Weaken Economy
Very familiar,Somewhat Agree,Have no effect on job opportunities,Yes,Manufacturing,Push people further apart,Yes,Have no effect on decision-making,Yes,Somewhat Agree,Improve privacy,Yes,Somewhat concerned,Neutral,Weaken Economy
Not familiar at all,Strongly Disagree,Eliminate jobs,Yes,Manufacturing,Push people further apart,Unsure,Make decision-making more efficient,No,Strongly Disagree,Improve privacy,Unsure,Neutral,Somewhat Agree,Improve Economy
Not familiar at all,Somewhat Disagree,Have no effect on job opportunities,No,Finance,Have no effect on human interaction,Yes,Have no effect on decision-making,No,Somewhat Agree,Improve privacy,Yes,Not very concerned,Neutral,Not affect economy at all.
Very familiar,Neutral,Create more jobs,Yes,Retail,Have no effect on human interaction,No,Make decision-making more efficient,Unsure,Strongly Agree,Have no effect on our privacy,Yes,Not at all concerned,Neutral,Weaken Economy
Very familiar,Somewhat Agree,Eliminate jobs,Yes,Finance,Have no effect on human interaction,No,Have no effect on decision-making,Yes,Neutral,Improve privacy,No,Not at all concerned,Somewhat Agree,Improve Economy
Very familiar,Strongly Agree,Have no effect on job opportunities,Yes,Finance,Have no effect on human interaction,Yes,Have no effect on decision-making,Yes,Neutral,Improve privacy,No,Very concerned,Somewhat Disagree,Weaken Economy
Very familiar,Somewhat Disagree,Create more jobs,Yes,Finance,Have no effect on human interaction,Yes,Limit our ability to think critically,Yes,Neutral,Have no effect on our privacy,Yes,Very concerned,Neutral,Weaken Economy
Very familiar,Strongly Agree,Create more jobs,Yes,Finance,Bring people closer together,No,Have no effect on decision-making,No,Somewhat Disagree,Compromise privacy,Unsure,Somewhat concerned,Strongly Disagree,Not affect economy at all.
Very familiar,Neutral,Have no effect on job opportunities,Yes,Retail,Have no effect on human interaction,No,Limit our ability to think critically,Unsure,Strongly Agree,Have no effect on our privacy,Yes,Not at all concerned,Neutral,Weaken Economy
Not familiar at all,Somewhat Agree,Eliminate jobs,No,Finance,Bring people closer together,Unsure,Have no effect on decision-making,Yes,Strongly Agree,Compromise privacy,Unsure,Not very concerned,Strongly Agree,Not affect economy at all.
Somewhat famililar,Somewhat Agree,Have no effect on job opportunities,Yes,Healthcare,Bring people closer together,Unsure,Have no effect on decision-making,No,Somewhat Agree,Improve privacy,No,Somewhat concerned,Strongly Agree,Not affect economy at all.
Not familiar at all,Strongly Agree,Eliminate jobs,No,Finance,Have no effect on human interaction,Yes,Make decision-making more efficient,No,Somewhat Agree,Compromise privacy,Yes,Very concerned,Neutral,Improve Economy
Somewhat famililar,Somewhat Disagree,Have no effect on job opportunities,Yes,Finance,Bring people closer together,No,Have no effect on decision-making,Yes,Somewhat Disagree,Compromise privacy,Yes,Somewhat concerned,Strongly Disagree,Improve Economy
Not familiar at all,Somewhat Disagree,Have no effect on job opportunities,Yes,Healthcare,Have no effect on human interaction,Unsure,Make decision-making more efficient,No,Somewhat Agree,Improve privacy,No,Very concerned,Somewhat Agree,Weaken Economy
Somewhat famililar,Neutral,Eliminate jobs,Yes,Healthcare,Have no effect on human interaction,Yes,Limit our ability to think critically,Unsure,Somewhat Disagree,Improve privacy,Yes,Very concerned,Neutral,Improve Economy
Not familiar at all,Neutral,Create more jobs,No,Retail,Push people further apart,Unsure,Limit our ability to think critically,Unsure,Somewhat Disagree,Improve privacy,Yes,Not very concerned,Strongly Disagree,Improve Economy
Somewhat famililar,Strongly Agree,Eliminate jobs,No,Healthcare,Push people further apart,Unsure,Have no effect on decision-making,Unsure,Strongly Disagree,Compromise privacy,No,Neutral,Somewhat Disagree,Not affect economy at all.
Very familiar,Strongly Agree,Have no effect on job opportunities,Yes,Healthcare,Bring people closer together,Unsure,Make decision-making more efficient,Yes,Somewhat Agree,Improve privacy,Yes,Neutral,Strongly Disagree,Improve Economy
Not familiar at all,Neutral,Have no effect on job opportunities,Yes,Manufacturing,Have no effect on human interaction,Unsure,Limit our ability to think critically,Yes,Strongly Agree,Improve privacy,Unsure,Not at all concerned,Somewhat Disagree,Weaken Economy
Very familiar,Strongly Disagree,Eliminate jobs,No,Manufacturing,Bring people closer together,Yes,Limit our ability to think critically,Yes,Strongly Agree,Compromise privacy,Yes,Neutral,Strongly Agree,Weaken Economy
Not familiar at all,Strongly Disagree,Eliminate jobs,Yes,Healthcare,Have no effect on human interaction,Yes,Limit our ability to think critically,Yes,Strongly Disagree,Improve privacy,Yes,Neutral,Somewhat Agree,Improve Economy
Very familiar,Somewhat Disagree,Have no effect on job opportunities,Yes,Retail,Have no effect on human interaction,Unsure,Make decision-making more efficient,No,Strongly Disagree,Compromise privacy,Unsure,Very concerned,Somewhat Disagree,Improve Economy
Not familiar at all,Neutral,Create more jobs,No,Manufacturing,Have no effect on human interaction,No,Make decision-making more efficient,Yes,Neutral,Compromise privacy,Unsure,Very concerned,Somewhat Agree,Improve Economy
Very familiar,Strongly Disagree,Create more jobs,Yes,Healthcare,Push people further apart,Yes,Have no effect on decision-making,Unsure,Strongly Disagree,Have no effect on our privacy,No,Not very concerned,Strongly Disagree,Not affect economy at all.
Very familiar,Neutral,Eliminate jobs,Yes,Manufacturing,Push people further apart,No,Have no effect on decision-making,No,Strongly Agree,Compromise privacy,Yes,Not very concerned,Neutral,Not affect economy at all.
Somewhat famililar,Somewhat Agree,Create more jobs,No,Finance,Bring people closer together,Yes,Have no effect on decision-making,Yes,Somewhat Disagree,Improve privacy,Yes,Somewhat concerned,Strongly Agree,Improve Economy
Very familiar,Somewhat Agree,Have no effect on job opportunities,No,Retail,Bring people closer together,Yes,Make decision-making more efficient,Yes,Neutral,Improve privacy,No,Somewhat concerned,Neutral,Not affect economy at all.
Somewhat famililar,Somewhat Disagree,Have no effect on job opportunities,No,Retail,Bring people closer together,Yes,Make decision-making more efficient,No,Somewhat Agree,Have no effect on our privacy,Unsure,Somewhat concerned,Somewhat Agree,Not affect economy at all.
Not familiar at all,Somewhat Agree,Eliminate jobs,No,Healthcare,Have no effect on human interaction,No,Make decision-making more efficient,Yes,Somewhat Disagree,Improve privacy,Unsure,Neutral,Somewhat Disagree,Improve Economy
Very familiar,Strongly Disagree,Create more jobs,Yes,Finance,Have no effect on human interaction,No,Make decision-making more efficient,Unsure,Strongly Agree,Improve privacy,Unsure,Not at all concerned,Somewhat Agree,Not affect economy at all.
Somewhat famililar,Neutral,Create more jobs,No,Healthcare,Bring people closer together,Unsure,Limit our ability to think critically,No,Somewhat Disagree,Improve privacy,Yes,Not at all concerned,Strongly Agree,Weaken Economy
Very familiar,Strongly Agree,Create more jobs,Yes,Healthcare,Push people further apart,Unsure,Limit our ability to think critically,Unsure,Strongly Agree,Improve privacy,Yes,Very concerned,Somewhat Agree,Not affect economy at all.
Very familiar,Neutral,Have no effect on job opportunities,No,Retail,Bring people closer together,No,Make decision-making more efficient,Yes,Somewhat Disagree,Improve privacy,Unsure,Not very concerned,Somewhat Agree,Improve Economy
Somewhat famililar,Strongly Agree,Have no effect on job opportunities,No,Manufacturing,Bring people closer together,No,Have no effect on decision-making,Yes,Strongly Disagree,Have no effect on our privacy,No,Very concerned,Somewhat Disagree,Weaken Economy
Very familiar,Somewhat Agree,Eliminate jobs,Yes,Manufacturing,Push people further apart,Unsure,Make decision-making more efficient,Unsure,Somewhat Agree,Compromise privacy,No,Somewhat concerned,Neutral,Weaken Economy
Somewhat famililar,Strongly Agree,Create more jobs,Yes,Finance,Push people further apart,Unsure,Limit our ability to think critically,No,Strongly Agree,Have no effect on our privacy,Unsure,Very concerned,Somewhat Disagree,Improve Economy
Very familiar,Strongly Disagree,Eliminate jobs,Yes,Manufacturing,Bring people closer together,No,Limit our ability to think critically,Yes,Strongly Disagree,Compromise privacy,No,Somewhat concerned,Strongly Disagree,Improve Economy
Very familiar,Strongly Agree,Eliminate jobs,Yes,Retail,Bring people closer together,No,Make decision-making more efficient,No,Somewhat Disagree,Improve privacy,No,Not very concerned,Neutral,Improve Economy
Very familiar,Strongly Agree,Create more jobs,No,Finance,Bring people closer together,Yes,Make decision-making more efficient,Yes,Strongly Agree,Improve privacy,No,Not at all concerned,Neutral,Weaken Economy
Not familiar at all,Neutral,Eliminate jobs,No,Finance,Bring people closer together,Yes,Have no effect on decision-making,Unsure,Strongly Disagree,Compromise privacy,Unsure,Not very concerned,Somewhat Disagree,Weaken Economy
Not familiar at all,Neutral,Eliminate jobs,Yes,Retail,Push people further apart,Yes,Have no effect on decision-making,Yes,Somewhat Agree,Have no effect on our privacy,Yes,Not very concerned,Strongly Disagree,Weaken Economy
Somewhat famililar,Strongly Disagree,Create more jobs,Yes,Manufacturing,Push people further apart,Yes,Limit our ability to think critically,Unsure,Somewhat Agree,Have no effect on our privacy,Unsure,Not very concerned,Strongly Agree,Not affect economy at all.
Somewhat famililar,Strongly Disagree,Eliminate jobs,Yes,Retail,Bring people closer together,Yes,Make decision-making more efficient,Unsure,Somewhat Agree,Compromise privacy,No,Somewhat concerned,Strongly Disagree,Not affect economy at all.
Very familiar,Strongly Disagree,Eliminate jobs,No,Healthcare,Bring people closer together,Yes,Have no effect on decision-making,No,Somewhat Disagree,Compromise privacy,Yes,Not very concerned,Strongly Agree,Not affect economy at all.
Not familiar at all,Neutral,Have no effect on job opportunities,Yes,Retail,Bring people closer together,Yes,Make decision-making more efficient,No,Somewhat Disagree,Improve privacy,No,Not very concerned,Somewhat Agree,Weaken Economy
Very familiar,Neutral,Have no effect on job opportunities,Yes,Manufacturing,Push people further apart,No,Make decision-making more efficient,No,Strongly Agree,Improve privacy,Unsure,Not at all concerned,Strongly Agree,Not affect economy at all.
Somewhat famililar,Strongly Agree,Create more jobs,Yes,Finance,Push people further apart,Unsure,Limit our ability to think critically,Unsure,Somewhat Disagree,Improve privacy,Yes,Not very concerned,Somewhat Agree,Weaken Economy
Somewhat famililar,Strongly Disagree,Eliminate jobs,No,Retail,Push people further apart,No,Make decision-making more efficient,Yes,Strongly Disagree,Improve privacy,Yes,Very concerned,Strongly Agree,Weaken Economy
Somewhat famililar,Strongly Agree,Create more jobs,No,Retail,Push people further apart,Yes,Limit our ability to think critically,Yes,Somewhat Disagree,Have no effect on our privacy,Yes,Very concerned,Strongly Disagree,Improve Economy
Not familiar at all,Somewhat Agree,Have no effect on job opportunities,Yes,Healthcare,Have no effect on human interaction,Yes,Have no effect on decision-making,Yes,Somewhat Disagree,Have no effect on our privacy,Yes,Somewhat concerned,Neutral,Improve Economy
Somewhat famililar,Strongly Agree,Have no effect on job opportunities,Yes,Manufacturing,Push people further apart,No,Have no effect on decision-making,No,Strongly Disagree,Improve privacy,Yes,Very concerned,Strongly Disagree,Weaken Economy
Very familiar,Somewhat Disagree,Create more jobs,No,Retail,Have no effect on human interaction,Unsure,Make decision-making more efficient,No,Strongly Disagree,Compromise privacy,Unsure,Not at all concerned,Somewhat Agree,Not affect economy at all.
Not familiar at all,Somewhat Agree,Have no effect on job opportunities,No,Healthcare,Push people further apart,Unsure,Make decision-making more efficient,Yes,Strongly Agree,Have no effect on our privacy,Yes,Neutral,Strongly Agree,Weaken Economy
Somewhat famililar,Strongly Disagree,Create more jobs,No,Manufacturing,Bring people closer together,Unsure,Have no effect on decision-making,No,Somewhat Agree,Compromise privacy,No,Very concerned,Neutral,Weaken Economy
Somewhat famililar,Strongly Disagree,Eliminate jobs,No,Retail,Have no effect on human interaction,Unsure,Have no effect on decision-making,Unsure,Strongly Agree,Have no effect on our privacy,Yes,Very concerned,Somewhat Agree,Not affect economy at all.
Not familiar at all,Somewhat Agree,Eliminate jobs,Yes,Manufacturing,Push people further apart,Yes,Make decision-making more efficient,No,Strongly Agree,Have no effect on our privacy,No,Very concerned,Strongly Disagree,Weaken Economy
Somewhat famililar,Strongly Disagree,Eliminate jobs,Yes,Retail,Have no effect on human interaction,Unsure,Make decision-making more efficient,Unsure,Strongly Disagree,Improve privacy,No,Neutral,Somewhat Disagree,Weaken Economy
Somewhat famililar,Strongly Agree,Create more jobs,Yes,Finance,Bring people closer together,Yes,Limit our ability to think critically,No,Somewhat Disagree,Have no effect on our privacy,No,Somewhat concerned,Somewhat Disagree,Weaken Economy
Not familiar at all,Somewhat Disagree,Eliminate jobs,No,Finance,Push people further apart,Yes,Limit our ability to think critically,No,Neutral,Improve privacy,Yes,Somewhat concerned,Strongly Agree,Not affect economy at all.
Somewhat famililar,Strongly Disagree,Create more jobs,Yes,Finance,Have no effect on human interaction,Unsure,Limit our ability to think critically,Unsure,Somewhat Disagree,Improve privacy,No,Neutral,Somewhat Disagree,Weaken Economy
Very familiar,Strongly Disagree,Have no effect on job opportunities,Yes,Manufacturing,Push people further apart,Yes,Make decision-making more efficient,Yes,Neutral,Have no effect on our privacy,Yes,Neutral,Somewhat Agree,Improve Economy
Very familiar,Strongly Disagree,Eliminate jobs,Yes,Finance,Push people further apart,Unsure,Have no effect on decision-making,Yes,Somewhat Agree,Compromise privacy,No,Not at all concerned,Neutral,Not affect economy at all.
Very familiar,Somewhat Disagree,Eliminate jobs,Yes,Retail,Push people further apart,Yes,Limit our ability to think critically,Yes,Somewhat Disagree,Have no effect on our privacy,No,Not very concerned,Strongly Agree,Improve Economy
